,model,mean_test_score,std_test_score,mean_fit_time,params,mean_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score
0,mlp,-83.83746753513006,1.7971713898073298,5.355532646179199,"{'regressor__activation': 'identity', 'regressor__hidden_layer_sizes': 100, 'regressor__max_iter': 600, 'regressor__random_state': 1, 'regressor__solver': 'adam', 'regressor__tol': 0.1}",0.030485033988952637,-84.45070452385693,-85.91442930731843,-80.97399970082495,-84.01073660851992
1,mlp,-77.11231336976854,2.536097884058436,38.69158750772476,"{'regressor__activation': 'logistic', 'regressor__hidden_layer_sizes': 100, 'regressor__max_iter': 600, 'regressor__random_state': 1, 'regressor__solver': 'adam', 'regressor__tol': 0.1}",0.039628446102142334,-80.06633320400341,-73.63427012956463,-75.83049028830885,-78.91815985719728
2,mlp,-79.52412345836234,4.533592266152723,37.19835299253464,"{'regressor__activation': 'tanh', 'regressor__hidden_layer_sizes': 100, 'regressor__max_iter': 600, 'regressor__random_state': 1, 'regressor__solver': 'adam', 'regressor__tol': 0.1}",0.041667401790618896,-84.7449979651662,-73.15223061560265,-77.48306381178375,-82.71620144089674
3,mlp,-79.16227285219827,3.5586943379848184,31.247965157032013,"{'regressor__activation': 'relu', 'regressor__hidden_layer_sizes': 100, 'regressor__max_iter': 600, 'regressor__random_state': 1, 'regressor__solver': 'adam', 'regressor__tol': 0.1}",0.03790724277496338,-80.51386571792985,-74.47969950540049,-84.09550005119065,-77.56002613427212
0,linear_regression,-82.13218333057709,1.6455096211161615,0.10851258039474487,{},0.027580857276916504,-82.70216618435002,-79.51794426580716,-82.26487633915197,-84.04374653299925
0,random_forest,-72.02109717321221,2.6261367059850467,11.581787645816803,"{'regressor__criterion': 'mse', 'regressor__max_features': 'auto', 'regressor__random_state': 1}",0.24607253074645996,-71.35835467926643,-68.01886531763006,-74.00123813039109,-74.70593056556129
1,random_forest,-68.53061617030122,2.6332883725257012,3.4747270345687866,"{'regressor__criterion': 'mse', 'regressor__max_features': 'sqrt', 'regressor__random_state': 1}",0.2690390348434448,-69.3898071684544,-64.5402511211922,-68.33929074116334,-71.85311565039495
2,random_forest,-68.53061617030122,2.6332883725257012,3.439617693424225,"{'regressor__criterion': 'mse', 'regressor__max_features': 'log2', 'regressor__random_state': 1}",0.27053654193878174,-69.3898071684544,-64.5402511211922,-68.33929074116334,-71.85311565039495
0,knn,-80.02324950838545,3.3402185488886733,0.07562631368637085,"{'regressor__n_neighbors': 5, 'regressor__weights': 'uniform'}",3.3609792590141296,-80.3964565785652,-75.67566076096428,-79.03642172523962,-84.9844589687727
1,knn,-79.124602703385,3.2945402333274525,0.07864874601364136,"{'regressor__n_neighbors': 5, 'regressor__weights': 'distance'}",3.453925311565399,-79.88523964497686,-74.71089029081948,-78.06288184761054,-83.83939903013312
2,knn,-78.30436087946221,2.4729032317214,0.07809555530548096,"{'regressor__n_neighbors': 10, 'regressor__weights': 'uniform'}",3.607663154602051,-78.40842288701714,-74.64083647981411,-78.55212024397328,-81.61606390704429
3,knn,-76.87795926843675,2.730648859791861,0.07670468091964722,"{'regressor__n_neighbors': 10, 'regressor__weights': 'distance'}",3.3448853492736816,-77.46556886678921,-73.07587156943272,-76.26504267769226,-80.70535395983282
4,knn,-77.56751266906292,2.252545898036431,0.07633280754089355,"{'regressor__n_neighbors': 15, 'regressor__weights': 'uniform'}",3.503168523311615,-77.7305837932036,-74.16683125181528,-77.87034562881209,-80.50229000242071
5,knn,-76.04450077175198,2.4862931557448884,0.0779382586479187,"{'regressor__n_neighbors': 15, 'regressor__weights': 'distance'}",3.351816475391388,-76.31150688771281,-72.60401278808489,-75.65856950638307,-79.60391390482717
0,xgb_regressor,-73.48678915458123,1.6788400386267615,0.654504120349884,"{'regressor__max_depth': 2, 'regressor__n_estimators': 100, 'regressor__random_state': 1}",0.042961716651916504,-72.91509256870066,-70.99431279617585,-74.87716782626686,-75.16058342718156
1,xgb_regressor,-73.48153075079236,2.1754157697886694,0.8988427519798279,"{'regressor__max_depth': 2, 'regressor__n_estimators': 150, 'regressor__random_state': 1}",0.04395502805709839,-72.90173106711339,-70.16503676203423,-75.3856160154254,-75.47373915859643
2,xgb_regressor,-73.24258035441339,2.4704639210719335,0.8676468133926392,"{'regressor__max_depth': 3, 'regressor__n_estimators': 100, 'regressor__random_state': 1}",0.04428046941757202,-73.55218950225591,-69.14474355909599,-74.71877710429469,-75.55461125200696
3,xgb_regressor,-74.08342159938131,1.9064503870417777,1.251144528388977,"{'regressor__max_depth': 3, 'regressor__n_estimators': 150, 'regressor__random_state': 1}",0.04619330167770386,-74.47968243219601,-70.86366957260202,-75.61419511375439,-75.37613927897284
4,xgb_regressor,-74.39224376651066,1.2856089140003857,1.4319042563438416,"{'regressor__max_depth': 5, 'regressor__n_estimators': 100, 'regressor__random_state': 1}",0.04717731475830078,-74.21970912539747,-72.41088073763314,-75.05934148338726,-75.87904371962482
5,xgb_regressor,-75.4257937564948,1.2185535512318908,2.0390661358833313,"{'regressor__max_depth': 5, 'regressor__n_estimators': 150, 'regressor__random_state': 1}",0.0465625524520874,-75.37233250396666,-73.47029489881245,-76.21267696103445,-76.64787066216563
